Time(s)	P_load(kW)	P_pv(kW)	P_grid(kW)	ChargeReq(kW)
18.9	100	250	-20.81	129.3
19	100	250	-20.67	129.5
19.1	100	250	-20.53	129.6
19.2	100	250	-20.39	129.7
19.3	100	250	-20.25	129.9
19.4	100	250	-20.12	130
19.5	100	250	-19.98	130.1
19.6	100	250	-19.85	130.3
19.7	100	250	-19.72	130.4
19.8	100	250	-19.59	130.5
19.9	100	250	-19.45	130.7
20	100	250	-19.32	130.8
20.1	100	250	-19.19	130.9
20.2	100	250	-19.07	131.1
20.3	100	250	-18.94	131.2
20.4	100	250	-18.81	131.3
20.5	100	250	-18.69	131.4
20.6	100	250	-18.56	131.6
20.7	100	250	-18.44	131.7
20.8	100	250	-18.31	131.8
20.9	100	250	-18.19	131.9
21	100	250	-18.07	132.1
21.1	100	250	-17.95	132.2
21.2	100	250	-17.83	132.3
21.3	100	250	-17.71	132.4
21.4	100	250	-17.59	132.5
21.5	100	250	-17.47	132.6
21.6	100	250	-17.35	132.8
21.7	100	250	-17.24	132.9
21.8	100	250	-17.12	133
21.9	100	250	-17.01	133.1
22	100	250	-16.89	133.2
22.1	100	250	-16.78	133.3
22.2	100	250	-16.67	133.4
22.3	100	250	-16.56	133.6
22.4	100	250	-16.45	133.7
22.5	100	250	-16.34	133.8
22.6	100	250	-16.23	133.9
22.7	100	250	-16.12	134
22.8	100	250	-16.01	134.1
22.9	100	250	-15.9	134.2
23	100	250	-15.8	134.3
23.1	100	250	-15.69	134.4
23.2	100	250	-15.59	134.5
23.3	100	250	-15.48	134.6
23.4	100	250	-15.38	134.7
23.5	100	250	-15.27	134.8
23.6	100	250	-15.17	134.9
23.7	100	250	-15.07	135
23.8	100	250	-14.97	135.1
23.9	100	250	-14.87	135.2
24	100	250	-14.77	135.3
24.1	100	250	-14.67	135.4
24.2	100	250	-14.57	135.5
24.3	100	250	-14.48	135.6
24.4	100	250	-14.38	135.7
24.5	100	250	-14.28	135.8
24.6	100	250	-14.19	135.9
24.7	100	250	-14.09	136
24.8	100	250	-14	136.1
24.9	100	250	-13.9	136.2
25	100	250	-13.81	136.3
25.1	100	250	-13.72	136.4
25.2	100	250	-13.63	136.5
25.3	100	250	-13.53	136.6
25.4	100	250	-13.44	136.6
25.5	100	250	-13.35	136.7
25.6	100	250	-13.26	136.8
25.7	100	250	-13.18	136.9
25.8	100	250	-13.09	137
25.9	100	250	-13	137.1
26	100	250	-12.91	137.2
26.1	100	250	-12.83	137.3
26.2	100	250	-12.74	137.3
26.3	100	250	-12.66	137.4
