Time(s)	P_load(kW)	P_pv(kW)	P_grid(kW)	ChargeReq(kW)
84.3	100	200	-1.989	98.01
84.4	100	200	-1.989	98.01
84.5	100	200	-1.989	98.01
84.6	100	200	-1.989	98.01
84.7	100	200	-1.989	98.01
84.8	100	200	-1.989	98.01
84.9	100	200	-1.989	98.01
85	100	200	-1.989	98.01
85.1	100	200	-1.989	98.01
85.2	100	200	-1.989	98.01
85.3	100	200	-1.989	98.01
85.4	100	200	-1.989	98.01
85.5	100	200	-1.989	98.01
85.6	100	200	-1.989	98.01
85.7	100	200	-1.989	98.01
85.8	100	200	-1.989	98.01
85.9	100	200	-1.989	98.01
86	100	200	-1.989	98.01
86.1	100	200	-1.989	98.01
86.2	100	200	-1.989	98.01
86.3	100	200	-1.989	98.01
86.4	100	200	-1.989	98.01
86.5	100	200	-1.989	98.01
86.6	100	200	-1.989	98.01
86.7	100	200	-1.989	98.01
86.8	100	200	-1.989	98.01
86.9	100	200	-1.989	98.01
87	100	200	-1.989	98.01
87.1	100	200	-1.989	98.01
87.2	100	200	-1.989	98.01
87.3	100	200	-1.989	98.01
87.4	100	200	-1.989	98.01
87.5	100	200	-1.989	98.01
87.6	100	200	-1.989	98.01
87.7	100	200	-1.989	98.01
87.8	100	200	-1.989	98.01
87.9	100	200	-1.989	98.01
88	100	200	-1.989	98.01
88.1	100	200	-1.989	98.01
88.2	100	200	-1.989	98.01
88.3	100	200	-1.989	98.01
88.4	100	200	-1.989	98.01
88.5	100	200	-1.989	98.01
88.6	100	200	-1.989	98.01
88.7	100	200	-1.989	98.01
88.8	100	200	-1.989	98.01
88.9	100	200	-1.989	98.01
89	100	200	-1.989	98.01
89.1	100	200	-1.989	98.01
89.2	100	200	-1.989	98.01
89.3	100	200	-1.989	98.01
89.4	100	200	-1.989	98.01
89.5	100	200	-1.989	98.01
89.6	100	200	-1.989	98.01
89.7	100	200	-1.989	98.01
89.8	100	200	-1.989	98.01
89.9	100	200	-1.989	98.01
90	100	200	-1.989	98.01
